,F1
242,-18752.437258421825
243,407798.9588752883
244,inf
245,921449.8458153812
246,593912.1898628135
247,268575.0411066438
248,90130.76389306116
249,-122204.29095402348
250,-258160.54890791257
251,1121772.1075123453
252,-348257.15364175796
253,-751322.1814177657
254,4858.2022818439555
255,-554167.5177644166
256,5205.085961377623
257,654116.9199250808
258,318097.35094152315
259,1615871.2454374619
260,-572175.0504912395
261,17338.891814214985
262,78303.58322207924
263,-296424.7148595349
264,-146945.53471061788
265,340745.1936418734
266,-1051396.358317585
267,-13202.646429087948
268,440333.29948418617
269,158233.601138982
270,304842.3699169755
271,123088.25532425786
272,488208.9663699104
273,888583.169641853
274,-416988.81433101575
275,-705053.6063134946
276,-1852430.4980664903
277,100928.24427795809
278,-85338.00867049563
279,-798797.9349402374
280,14986.955607248758
281,-349929.74808762193
282,297254.15558617876
283,1397622.154814111
284,129094.66136982487
285,93928.40571782074
286,-86464.62013568009
287,774379.15690908
288,234655.3022013435
289,-2915.9224625666147
290,687241.4795794232
291,1341970.7021300534
292,604532.9498843027
293,-330420.71956442203
294,570379.8090214133
295,-66034.07371173991
296,753679.8646769712
297,-997058.4417747699
298,-1173878.9670415442
299,320732.8434399738
300,523751.9158482169
301,709748.4649123708
302,226656.42176675348
303,-787500.884664969
304,-461941.41796722374
305,101598.44560582227
306,-429875.6643621795
307,-458655.501620165
308,636215.6513700809
309,540475.00128807
310,-161339.11522626795
311,-1963779.906091972
312,-669386.5442041397
313,995835.5359238893
314,-509763.22148649854
315,1210054.7818395686
316,413327.06138385786
317,-1526801.1036311116
318,713027.4284958746
319,-82658.4204573974
320,337173.54653925815
321,62391.02878005686
322,408601.3119025242
323,-20764.78087143887
324,467956.48821605725
325,-685204.9603091399
326,-2504295.5831906516
327,437176.4281049083
328,121854.16259605519
329,-171404.89263670542
330,114803.97707883394
331,633230.0067464452
332,-2784771.0749771455
333,-326799.6603871647
334,369715.932531425
335,504997.95268799475
336,-791419.7484646584
337,566229.182801859
338,238134.9340878499
339,-102557.35651025092
340,-1174328.3829198133
341,673446.2873149368
342,38404.085692572124
343,698235.4517388414
344,16901.84191328294
345,168452.98407492132
346,467021.086158219
347,-114523.44015004848
348,-1084940.6548857566
349,887515.2422205107
350,1162637.0286390246
351,112658.58042539234
352,-328611.7233218142
353,-49066.86366649112
354,32312.416389404876
355,-570067.0618778563
356,173198.27275991815
357,-133083.81926769982
358,86354.4864791916
359,406414.6648264557
360,-172772.49254121952
361,434476.89789379924
362,680027.6553539693
363,612785.0877884153
364,-39910.86205314094
365,110713.73272878505
366,-109229.84859753541
367,-283608.21966225764
368,-932426.8877070018
369,-306732.6381538518
370,192133.7969764447
371,349232.23123878066
372,1246728.0339781106
373,1321374.0941257905
374,1001803.5384679245
375,257277.7703406771
376,1016864.9536443782
377,272749.67946553417
378,482058.75827976875
379,843663.9411492189
380,1347704.6780469664
381,-995808.1990964903
382,-20254.787851419278
383,82577.77171458802
384,156467.26695105192
385,-334271.62988089863
386,-59542.4600731639
387,748398.5179785935
388,-141140.02961954442
389,288004.936912189
390,-701174.7602561011
391,263415.6926101331
392,-403191.8905681854
393,-454869.29048350017
394,-511856.2336623592
395,-16807.98020334788
396,863794.852099895
397,-348838.64282800694
398,-605725.211049612
399,251974.00065512655
400,-524120.0865263736
401,1368747.5444002429
402,221007.44342085457
403,1656977.3496421028
404,630053.0551563305
405,-548464.0604363559
406,-684507.0891348702
407,399137.2400999819
408,704986.0883808451
409,1050506.604523175
410,-825262.0130357355
411,-775550.5790069615
412,-53042.0826649195
413,1897105.1233466584
414,179447.43527363916
415,474514.55485405365
416,47084.531048677854
417,505210.16210199334
418,57765.03487246281
419,479038.7009900247
420,-772203.9159818378
421,228382.4717243614
422,-77118.15233763425
423,1285026.6680856014
424,-132011.00222578837
425,153946.33066882327
426,-14036.785116324181
427,1508132.2253834843
428,-263616.7644495521
429,927837.755203402
430,243476.48490002888
431,583459.7998207671
432,-751856.43941452
433,-480988.08808997134
434,-360366.6712067751
435,-757023.3115921767
436,591052.6585815223
437,-inf
438,149754.49648954766
439,303789.65815184184
440,-1266644.748317975
441,524872.8959879015
442,275128.6105963666
443,-812632.3390276788
444,-603709.244257397
445,-39681.543089529536
446,-515590.812074304
447,567614.2546520814
448,225727.55585844666
449,187097.7403474217
450,707771.2525693492
451,78071.33135396712
452,-51557.116605627634
453,-1511804.324726117
454,-1387776.9689031895
455,-556072.220469392
456,481552.7371960809
457,208386.09362279848
458,596109.860392091
459,79040.15992801994
460,276198.59635214414
461,114207.1886279976
462,-174714.47300587306
463,-180050.6520228004
464,129326.21100445524
465,1699730.219546696
466,-396924.1998892629
467,-310717.75767890614
468,2808.5786176484294
469,412961.96135883237
470,-314761.1835176097
471,-91155.80565443242
472,-1494004.9310272096
473,25986.64916853534
474,604447.9688880581
475,-1222315.2915220156
476,-938337.1940818491
477,-253281.4317278229
